Period,Date,Long Date,Open,High,Low,Close,Upper Trend Channel,Trend Channel Pivot,Lower Trend Channel,Up Trends,New Uptrends,Down Trends,New Downtrends,Total Component Volume,Advances,Declines,Advancing Volume,Declining Volume,New Highs,New Lows,Issues Traded,Issues Unchanged,% above 200MA,% above 30MA,% above 18MA,% above 9MA,% above 4MA,Total Stks above 200MA,Total Stks below 200MA,Total Stks equal 200MA,Total Stks above 30MA,Total Stks below 30MA,Total Stks equal 30MA,Total Stks above 18MA,Total Stks below 18ma,Total Stks equal 18MA,Total Stks above 9MA,Total Stks below 9MA,Total Stks equal 9MA,Total Stks above 4MA,Total Stks below 4MA,Total Stks equal 4MA,New Highs - Quarter,New Lows - Quarter,New 1st Day Highs,New 1st Day Lows,New 1st Day Highs - Quarter,New 1st Day Lows - Quarter,Equal Weight Open Px,Equal Weight High Px,Equal Weight Low Px,Equal Weight Close Px,ETF Trade Volume,% above 50MA,Total Stks above 50MA,Total Stks below 50MA,Total Stks equal 50MA,Total Constituent Price Gains,Total Constituent Price Losses,FV8,FV9,FV10,FV11,FV12,FV13,FV14,FV15
D,20100104,1/4/10,10430.69043,10604.96973,10430.69043,10583.95996,10549.494875,10483.7448725,10417.99487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100105,1/5/10,10584.55957,10584.55957,10522.51953,10572.01953,10556.1472175,10501.43981875,10446.73242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100106,1/6/10,10564.71973,10594.99023,10546.5498,10573.67969,10562.4396975,10508.99731375,10455.55493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100107,1/7/10,10571.11035,10612.37012,10505.20996,10606.86035,10584.1298825,10504.8686525,10425.6074225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100108,1/8/10,10606.40039,10619.40039,10554.33008,10618.19043,10592.6875,10487.6274425,10382.567385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100111,1/11/10,10620.30957,10676.23047,10591.58984,10663.99023,10615.680175,10494.39123625,10373.1022975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100112,1/12/10,10662.86035,10663.08008,10568.83984,10627.25977,10629.075195,10504.0649425,10379.05469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2192998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100113,1/13/10,10628.08984,10709.25977,10614.49023,10680.76953,10647.55249,10533.0761725,10418.599855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100114,1/14/10,10680.16016,10723.76953,10666.86035,10710.5498,10670.6423325,10568.52233875,10466.402345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100115,1/15/10,10706.99023,10709.94043,10561.05957,10609.65039,10670.6423325,10585.1398925,10499.6374525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
